Consecutivo;Razón Social del cliente;Marca;Modelo Técnico;Tipo de Receptor;País de Fabricación;Código de Certificado;Fecha de Emisión;Alcance
32;Esto es un ejemplo S.A;Emerson;19 LCD/DVD COMBO;Full-seg;Corea del Sur;TVD-32-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
33;Esto es un ejemplo S.A;Emerson;19 LCD TV ;Full-seg;China;TVD-33-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
34;Esto es un ejemplo S.A;Emerson;32 LCDTV;Full-seg;Estados Unidos;TVD-34-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
35;Esto es un ejemplo S.A;Emerson;32 LCDTV;Full-seg;Japón;TVD-35-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
36;Esto es un ejemplo S.A;Emerson;32 LCDTV;Full-seg;Corea del Sur;TVD-36-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
37;Esto es un ejemplo S.A;Emerson;32 LCDTV;Full-seg;China;TVD-37-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
38;Esto es un ejemplo S.A;Emerson;32 LCDTV;Full-seg;Estados Unidos;TVD-38-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
39;Esto es un ejemplo S.A;Emerson;32 LCDTV;Full-seg;Japón;TVD-39-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
40;Esto es un ejemplo S.A;MAGNAVOX;32 LCDTV;Full-seg;Corea del Sur;TVD-40-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
41;Esto es un ejemplo S.A;Sylvania;19 LCD TV;Full-seg;China;TVD-41-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
42;Esto es un ejemplo S.A;Sylvania;19 LCD TV;Full-seg;Estados Unidos;TVD-42-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
43;Esto es un ejemplo S.A;Sylvania;22 LCD TV;Full-seg;Japón;TVD-43-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
44;Esto es un ejemplo S.A;Sylvania;32 LCDTV;Full-seg;Corea del Sur;TVD-44-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
45;Esto es un ejemplo S.A;Sylvania;32 LCDTV;Full-seg;China;TVD-45-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
46;Esto es un ejemplo S.A;Sylvania;32 LCDTV;Full-seg;Estados Unidos;TVD-46-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
47;Esto es un ejemplo S.A;Sylvania;32 LCD TV/DVD;Full-seg;Japón;TVD-47-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
48;Esto es un ejemplo S.A;Sylvania;37 LCD/DVD Combo;Full-seg;Corea del Sur;TVD-48-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
49;Esto es un ejemplo S.A;Sylvania;37 LCDTV;Full-seg;China;TVD-49-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
50;Esto es un ejemplo S.A;Sylvania;37 LCD TV/DVD COMBO;Full-seg;Estados Unidos;TVD-50-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
51;Esto es un ejemplo S.A;Sylvania;LC370SS9 M;Full-seg;Japón;TVD-51-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
52;Esto es un ejemplo S.A;Hitachi;Director Series;Full-seg;Corea del Sur;TVD-52-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
53;Esto es un ejemplo S.A;Hitachi;P42A202;Full-seg;China;TVD-53-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
54;Esto es un ejemplo S.A;Hitachi;P50A202;Full-seg;Estados Unidos;TVD-54-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
55;Esto es un ejemplo S.A;Hitachi;P50A402;Full-seg;Japón;TVD-55-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
56;Esto es un ejemplo S.A;Hitachi;P50S602;Full-seg;Corea del Sur;TVD-56-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
57;Esto es un ejemplo S.A;Hitachi;ULTRAVISION;Full-seg;China;TVD-57-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
58;Esto es un ejemplo S.A;JVC;LT-32E479;Full-seg;Estados Unidos;TVD-58-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
59;Esto es un ejemplo S.A;JVC;LT-32EM20;Full-seg;Japón;TVD-59-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
60;Esto es un ejemplo S.A;JVC;LT-32EM49;Full-seg;Corea del Sur;TVD-60-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
61;Esto es un ejemplo S.A;JVC;LT-32P679;Full-seg;China;TVD-61-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
62;Esto es un ejemplo S.A;JVC;LT-42EM59;Full-seg;Estados Unidos;TVD-62-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
63;Esto es un ejemplo S.A;JVC;LT-42P789;Full-seg;Japón;TVD-63-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
64;Esto es un ejemplo S.A;JVC;LT-42SL89VA;Full-seg;Corea del Sur;TVD-64-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
65;Esto es un ejemplo S.A;JVC;LT-42X579;Full-seg;China;TVD-65-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
66;Esto es un ejemplo S.A;JVC;LT-42X899;Full-seg;Estados Unidos;TVD-66-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
67;Esto es un ejemplo S.A;JVC;LT-46SL89;Full-seg;Japón;TVD-67-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
68;Esto es un ejemplo S.A;JVC;LT-47EM59;Full-seg;Corea del Sur;TVD-68-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
69;Esto es un ejemplo S.A;JVC;LT-47P789;Full-seg;China;TVD-69-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
70;Esto es un ejemplo S.A;JVC;LT-47X579;Full-seg;Estados Unidos;TVD-70-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
71;Esto es un ejemplo S.A;JVC;LT-47X899;Full-seg;Japón;TVD-71-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
72;Esto es un ejemplo S.A;JVC;LT-52P789;Full-seg;Corea del Sur;TVD-72-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
73;Esto es un ejemplo S.A;JVC;LT-52X579;Full-seg;China;TVD-73-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
74;Esto es un ejemplo S.A;JVC;LT-52X899;Full-seg;Estados Unidos;TVD-74-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
75;Esto es un ejemplo S.A;LG;32LG30D-AA;Full-seg;Japón;TVD-75-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
76;Esto es un ejemplo S.A;LG;32LG3DC-UA;Full-seg;Corea del Sur;TVD-76-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
77;Esto es un ejemplo S.A;LG;32LG60UD-AA;Full-seg;China;TVD-77-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
78;Esto es un ejemplo S.A;LG;32PG6000-ZA;Full-seg;Estados Unidos;TVD-78-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
79;Esto es un ejemplo S.A;LG;32PG6010-ZE;Full-seg;Japón;TVD-79-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
80;Esto es un ejemplo S.A;LG;42LC7D-AB;Full-seg;Corea del Sur;TVD-80-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
81;Esto es un ejemplo S.A;LG;42LG30D-AA;Full-seg;China;TVD-81-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
82;Esto es un ejemplo S.A;LG;42PG10-UA;Full-seg;Estados Unidos;TVD-82-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
83;Esto es un ejemplo S.A;LG;42PG2000-ZA;Full-seg;Japón;TVD-83-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
84;Esto es un ejemplo S.A;LG;42PG200R-ZA;Full-seg;Corea del Sur;TVD-84-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
85;Esto es un ejemplo S.A;LG;42PG20C-UA;Full-seg;China;TVD-85-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
86;Esto es un ejemplo S.A;LG;42PG20D-AA;Full-seg;Estados Unidos;TVD-86-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
87;Esto es un ejemplo S.A;LG;42PG20-UA;Full-seg;Japón;TVD-87-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
88;Esto es un ejemplo S.A;LG;42PG25-UA;Full-seg;Corea del Sur;TVD-88-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
89;Esto es un ejemplo S.A;LG;42PG3000-ZA;Full-seg;China;TVD-89-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
90;Esto es un ejemplo S.A;LG;42PG3500-ZA;Full-seg;Estados Unidos;TVD-90-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
91;Esto es un ejemplo S.A;LG;42PG6000-ZA;Full-seg;Japón;TVD-91-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
92;Esto es un ejemplo S.A;LG;42PG6010-ZE;Full-seg;Corea del Sur;TVD-92-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
93;Esto es un ejemplo S.A;LG;42PG60-UA;Full-seg;China;TVD-93-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
94;Esto es un ejemplo S.A;LG;42PG60UD-AA;Full-seg;Estados Unidos;TVD-94-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
95;Esto es un ejemplo S.A;LG;42PG6500-ZA;Full-seg;Japón;TVD-95-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
96;Esto es un ejemplo S.A;LG;42PG6900-ZF;Full-seg;Corea del Sur;TVD-96-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
